RAP,GID,Tissue,Organ,Gene.ID,References
Os05g0530500,LOC_Os05g45420,mestome sheath,Leaf,SNRK1A,PCMDB
Os05g0530701,LOC_Os05g45430,"leaf mesophyll,leaf procambium",Leaf,Os05g0530701,PCMDB
Os05g0531000,LOC_Os05g45440,"leaf epidermis,mestome sheath",Leaf,OsS40-14,PCMDB
Os05g0531100,LOC_Os05g45450,"mestome sheath,leaf procambium",Leaf,Dfu584,PCMDB
Os05g0531500,LOC_Os05g45490,"mestome sheath,leaf procambium",Leaf,Os05g0531500,PCMDB
Os05g0533700,LOC_Os05g45730,"leaf mesophyll,leaf procambium",Leaf,Os05g0533700,PCMDB
Os05g0534600,LOC_Os05g45830,leaf mesophyll,Leaf,OSJNBa0053E05.23,PCMDB
Os05g0534800,LOC_Os05g45840,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0534800,PCMDB
Os05g0536200,LOC_Os05g45950,"leaf epidermis,mestome sheath",Leaf,OSVDAC2,PCMDB
Os05g0537100,LOC_Os05g46020,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsWRKY7,PCMDB
Os05g0539400,LOC_Os05g46200,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsBgal9,PCMDB
Os05g0539500,LOC_Os05g46210,mestome sheath,Leaf,OsPOP10,PCMDB
Os05g0539700,LOC_Os05g46230,mestome sheath,Leaf,Orysa,PCMDB
Os05g0539800,LOC_Os05g46240,leaf mesophyll,Leaf,OsRTH2,PCMDB
Os05g0539900,LOC_Os05g46250,leaf mesophyll,Leaf,Os05g0539900,PCMDB
Os05g0540000,LOC_Os05g46260,leaf mesophyll,Leaf,GINT1,PCMDB
Os05g0540200,LOC_Os05g46280,"leaf epidermis,leaf mesophyll",Leaf,Os05g0540200,PCMDB
Os05g0540900,LOC_Os05g46340,mestome sheath,Leaf,Os05g0540900,PCMDB
Os05g0541200,LOC_Os05g46360,leaf epidermis,Leaf,LOGL7,PCMDB
Os05g0541900,LOC_Os05g46430,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os05g0541900,PCMDB
Os05g0542100,LOC_Os05g46450,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0542100,PCMDB
Os05g0542200,LOC_Os05g46460,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0542200,PCMDB
Os05g0542500,LOC_Os05g46480,"leaf epidermis,leaf mesophyll",Leaf,OsLEA3-1,PCMDB
Os05g0542600,LOC_Os05g46490,"leaf mesophyll,mestome sheath",Leaf,Os05g0542600,PCMDB
Os05g0542732,LOC_Os05g46500,"leaf epidermis,leaf mesophyll",Leaf,Os05g0542732,PCMDB
Os05g0542800,LOC_Os05g46510,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsPGL9,PCMDB
Os05g0543200,LOC_Os05g46560,leaf mesophyll,Leaf,Os05g0543200,PCMDB
Os05g0543400,LOC_Os05g46580,leaf epidermis,Leaf,OsFPPS2,PCMDB
Os05g0543700,LOC_Os05g46620,"leaf epidermis,leaf mesophyll",Leaf,OsDjC51,PCMDB
Os05g0545000,LOC_Os05g46720,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsSNDP6,PCMDB
Os05g0545300,LOC_Os05g46750,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os05g0545300,PCMDB
Os05g0545400,LOC_Os05g46760,leaf procambium,Leaf,Os05g0545400,PCMDB
Os05g0546300,LOC_Os05g46830,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0546300,PCMDB
Os05g0546400,LOC_Os05g46840,"leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,Os05g0546400,PCMDB
Os05g0546800,LOC_Os05g46890,"leaf mesophyll,mestome sheath",Leaf,Os05g0546800,PCMDB
Os05g0547600,LOC_Os05g46950,leaf mesophyll,Leaf,Os05g0547600,PCMDB
Os05g0547800,LOC_Os05g47442,leaf mesophyll,Leaf,Os05g0547800,PCMDB
Os05g0548200,LOC_Os05g47480,leaf mesophyll,Leaf,Os05g0548200,PCMDB
Os05g0548800,LOC_Os05g47530,mestome sheath,Leaf,Os05g0548800,PCMDB
Os05g0549000,LOC_Os05g47550,leaf mesophyll,Leaf,Os05g0549000,PCMDB
Os05g0549100,LOC_Os05g47560,leaf mesophyll,Leaf,OsSTN7,PCMDB
Os05g0549300,LOC_Os05g47580,mestome sheath,Leaf,Os05g0549300,PCMDB
Os05g0549800,LOC_Os05g47650,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,AP2/EREBP#096,PCMDB
Os05g0550000,LOC_Os05g47670,"leaf mesophyll,mestome sheath",Leaf,OsRFPH2-20,PCMDB
Os05g0550600,LOC_Os05g47730,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsLTP2.5,PCMDB
Os05g0550800,LOC_Os05g47770,leaf mesophyll,Leaf,Os05g0550800,PCMDB
Os05g0551600,LOC_Os05g47830,leaf mesophyll,Leaf,Os05g0551600,PCMDB
Os05g0552100,LOC_Os05g47870,leaf epidermis,Leaf,Os05g0552100,PCMDB
Os05g0552300,LOC_Os05g47890,"leaf epidermis,leaf mesophyll",Leaf,OsWD40-122,PCMDB
Os05g0552800,LOC_Os05g47960,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0552800,PCMDB
Os05g0553000,LOC_Os05g47980,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,RMtATPb,PCMDB
Os05g0553400,LOC_Os05g48010,"leaf epidermis,leaf mesophyll,leaf procambium,Leaf preprocambium",Leaf,OsMYB55,PCMDB
Os05g0553700,LOC_Os05g48020,leaf epidermis,Leaf,Os05g0553700,PCMDB
Os05g0553800,LOC_Os05g48030,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os05g0553800,PCMDB
Os05g0554000,LOC_Os05g48040,leaf mesophyll,Leaf,OsMATE2,PCMDB
Os05g0555300,LOC_Os05g48160,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0555300,PCMDB
Os05g0555800,LOC_Os05g48220,leaf mesophyll,Leaf,Os05g0555800,PCMDB
Os05g0555900,LOC_Os05g48220,leaf mesophyll,Leaf,Os05g0555900,PCMDB
Os05g0556000,LOC_Os05g48230,leaf mesophyll,Leaf,Os05g0556000,PCMDB
Os05g0556100,LOC_Os05g48240,leaf procambium,Leaf,OsDRP1A,PCMDB
Os05g0556300,LOC_Os05g48260,leaf procambium,Leaf,Os05g0556300,PCMDB
Os05g0556400,LOC_Os05g48270,"leaf mesophyll,Xylem",Leaf,Os05g0556400,PCMDB
Os05g0556700,LOC_Os05g48290,leaf mesophyll,Leaf,Os05g0556700,PCMDB
Os05g0556900,LOC_Os05g48310,"leaf epidermis,leaf mesophyll",Leaf,OsRPL35a.3,PCMDB
Os05g0557000,LOC_Os05g48320,"leaf epidermis,leaf mesophyll",Leaf,Os05g0557000,PCMDB
Os05g0557100,LOC_Os05g48330,"leaf mesophyll,mestome sheath",Leaf,Os05g0557100,PCMDB
Os05g0557200,LOC_Os05g48340,leaf epidermis,Leaf,Os05g0557200,PCMDB
Os05g0557700,LOC_Os05g48390,leaf procambium,Leaf,LTN1,PCMDB
Os05g0557800,LOC_Os05g48410,leaf epidermis,Leaf,Os05g0557800,PCMDB
Os05g0558000,LOC_Os05g48422,leaf mesophyll,Leaf,Os05g0558000,PCMDB
Os05g0558800,LOC_Os05g48500,leaf epidermis,Leaf,OsNINJA1,PCMDB
Os05g0559400,LOC_Os05g48590,"mestome sheath,leaf procambium",Leaf,OsIAA19,PCMDB
Os05g0559900,LOC_Os05g48620,leaf procambium,Leaf,SIP25,PCMDB
Os05g0560000,LOC_Os05g48630,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,PSAH,PCMDB
Os05g0560200,LOC_Os05g48650,leaf mesophyll,Leaf,OsDOG1L-3,PCMDB
Os05g0560300,LOC_Os05g48660,leaf procambium,Leaf,MRH1,PCMDB
Os05g0560500,LOC_Os05g48680,leaf mesophyll,Leaf,Os05g0560500,PCMDB
Os05g0560600,LOC_Os05g48690,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0560600,PCMDB
Os05g0561500,LOC_Os05g48750,"leaf epidermis,leaf mesophyll",Leaf,Os05g0561500,PCMDB
Os05g0561600,LOC_Os05g48760,"leaf mesophyll,leaf procambium",Leaf,Os05g0561600,PCMDB
Os05g0562200,LOC_Os05g48800,"leaf mesophyll,mestome sheath",Leaf,OsDi19-1,PCMDB
Os05g0562300,LOC_Os05g48810,mestome sheath,Leaf,OsDjB7,PCMDB
Os05g0562400,LOC_Os05g48820,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os05g0562400,PCMDB
Os05g0563000,LOC_Os05g48850,leaf epidermis,Leaf,OsSND2,PCMDB
Os05g0563050,LOC_Os05g48855,leaf mesophyll,Leaf,Os05g0563050,PCMDB
Os05g0563550,LOC_Os05g48890,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsFLA18,PCMDB
Os05g0563600,LOC_Os05g48900,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Xylem",Leaf,OsFLA6,PCMDB
Os05g0563900,LOC_Os05g48930,"leaf mesophyll,leaf procambium",Leaf,OsGRX17,PCMDB
Os05g0564200,LOC_Os05g48960,"leaf epidermis,leaf mesophyll",Leaf,OsC3H38,PCMDB
Os05g0564400,LOC_Os05g48980,leaf mesophyll,Leaf,OsRab11C3,PCMDB
Os05g0564800,LOC_Os05g49020,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os05g0564800,PCMDB
Os05g0565000,LOC_Os05g49030,"leaf epidermis,leaf mesophyll",Leaf,Os05g0565000,PCMDB
Os05g0565200,LOC_Os05g49050,"leaf mesophyll,mestome sheath",Leaf,UREG,PCMDB
Os05g0565400,LOC_Os05g49060,leaf mesophyll,Leaf,Os05g0565400,PCMDB
Os05g0565701,LOC_Os05g49080,"leaf mesophyll,mestome sheath",Leaf,Os05g0565701,PCMDB
Os05g0565900,LOC_Os05g49100,leaf mesophyll,Leaf,OsWRKY49,PCMDB
Os05g0566400,LOC_Os05g49140,"leaf epidermis,mestome sheath,leaf procambium,Leaf preprocambium",Leaf,OsMPK7,PCMDB
Os05g0566500,LOC_Os05g49150,leaf mesophyll,Leaf,eIF-3d,PCMDB
Os05g0566600,LOC_Os05g49160,"leaf epidermis,leaf mesophyll",Leaf,Os05g0566600,PCMDB
Os05g0566800,LOC_Os05g49170,"leaf epidermis,leaf mesophyll,leaf procambium,Mesophyll precursor",Leaf,COR413-TM1,PCMDB
Os05g0566900,LOC_Os05g49180,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os05g0566900,PCMDB
Os05g0567100,LOC_Os05g49200,leaf epidermis,Leaf,Oryzasin,PCMDB
Os05g0567400,LOC_Os05g49230,leaf mesophyll,Leaf,Os05g0567400,PCMDB
Os05g0567800,LOC_Os05g49270,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os05g0567800,PCMDB
Os05g0568000,LOC_Os05g49290,"mestome sheath,leaf procambium",Leaf,KCS1,PCMDB
Os05g0568300,LOC_Os05g49320,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,rpl12-1,PCMDB
Os05g0568600,LOC_Os05g49350,"mestome sheath,Xylem",Leaf,Os05g0568600,PCMDB
Os05g0568800,LOC_Os05g49370,"leaf epidermis,leaf procambium",Leaf,Os05g0568800,PCMDB
Os05g0568900,LOC_Os05g49380,leaf mesophyll,Leaf,OsDegp9,PCMDB
Os05g0569200,LOC_Os05g49410,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Mesophyll precursor",Leaf,Os05g0569200,PCMDB
Os05g0569300,LOC_Os05g49420,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsbZIP45,PCMDB
Os05g0569400,LOC_Os05g49430,mestome sheath,Leaf,Os05g0569400,PCMDB
Os05g0571200,LOC_Os05g49620,"leaf mesophyll,Mesophyll precursor",Leaf,OsWRKY19,PCMDB
Os05g0571600,LOC_Os05g49670,"leaf procambium,leaf initial cell",Leaf,Os05g0571600,PCMDB
Os05g0571700,LOC_Os05g49680,"leaf mesophyll,mestome sheath",Leaf,OsFbox282,PCMDB
Os05g0573300,LOC_Os05g49770,"leaf epidermis,leaf mesophyll",Leaf,Os05g0573300,PCMDB
Os05g0573500,LOC_Os05g49780,"leaf epidermis,leaf mesophyll",Leaf,HAP3C,PCMDB
Os05g0573700,LOC_Os05g49800,leaf mesophyll,Leaf,Os05g0573700,PCMDB
Os05g0573800,LOC_Os05g49810,leaf procambium,Leaf,Os05g0573800,PCMDB
Os05g0574300,LOC_Os05g49860,"leaf mesophyll,leaf initial cell",Leaf,H2B.9,PCMDB
Os05g0574500,LOC_Os05g49890,leaf procambium,Leaf,OsRAN2,PCMDB
Os05g0575000,LOC_Os05g49940,leaf mesophyll,Leaf,OsCV,PCMDB
Os05g0576600,LOC_Os05g50100,"leaf epidermis,leaf mesophyll",Leaf,Os05g0576600,PCMDB
Os05g0577500,LOC_Os05g50180,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsCML14,PCMDB
Os05g0577700,LOC_Os05g50190,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0577700,PCMDB
Os05g0578000,LOC_Os05g50220,leaf mesophyll,Leaf,Os05g0578000,PCMDB
Os05g0578500,LOC_Os05g50250,leaf mesophyll,Leaf,OsCCR23,PCMDB
Os05g0579900,LOC_Os05g50370,leaf mesophyll,Leaf,OsDjC52,PCMDB
Os05g0581800,LOC_Os05g50480,"leaf epidermis,leaf mesophyll",Leaf,Os05g0581800,PCMDB
Os05g0582100,LOC_Os05g50510,"mestome sheath,Xylem",Leaf,OJ1651_G11.8,PCMDB
Os05g0582400,LOC_Os05g50560,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0582400,PCMDB
Os05g0582500,LOC_Os05g50570,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsSCP29,PCMDB
Os05g0582800,LOC_Os05g50600,leaf mesophyll,Leaf,OsSCP31,PCMDB
Os05g0583000,LOC_Os05g50610,leaf mesophyll,Leaf,OsWRKY8,PCMDB
Os05g0583100,LOC_Os05g50624,"leaf mesophyll,Mesophyll precursor",Leaf,Os05g0583100,PCMDB
Os05g0584200,LOC_Os05g50710,"leaf mesophyll,mestome sheath",Leaf,LEA8,PCMDB
Os05g0584300,LOC_Os05g50720,leaf epidermis,Leaf,Os05g0584300,PCMDB
Os05g0585500,LOC_Os05g50810,leaf epidermis,Leaf,OsCDPK15,PCMDB
Os05g0586200,LOC_Os05g50890,leaf mesophyll,Leaf,JAR1,PCMDB
Os05g0586400,LOC_Os05g50910,"leaf mesophyll,mestome sheath",Leaf,Os05g0586400,PCMDB
Os05g0586600,LOC_Os05g50930,leaf mesophyll,Leaf,OsSIG5,PCMDB
Os05g0587400,LOC_Os05g51000,"leaf mesophyll,leaf procambium",Leaf,Os05g0587400,PCMDB
Os05g0588900,LOC_Os05g51130,"leaf mesophyll,mestome sheath,Leaf preprocambium",Leaf,Os05g0588900,PCMDB
Os05g0589000,LOC_Os05g51140,leaf epidermis,Leaf,Os05g0589000,PCMDB
Os05g0589200,LOC_Os05g51150,mestome sheath,Leaf,OsSIG3,PCMDB
Os05g0589400,LOC_Os05g51160,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,R2R3-MYB,PCMDB
Os05g0589600,LOC_Os05g51180,leaf mesophyll,Leaf,Os05g0589600,PCMDB
Os05g0590300,LOC_Os05g51240,leaf epidermis,Leaf,Os05g0590300,PCMDB
Os05g0591900,LOC_Os05g51420,"leaf mesophyll,mestome sheath",Leaf,HIRL1,PCMDB
Os05g0592100,LOC_Os05g51450,leaf mesophyll,Leaf,OsClp8,PCMDB
Os05g0592300,LOC_Os05g51470,mestome sheath,Leaf,Os05g0592300,PCMDB
Os05g0592400,LOC_Os05g51480,"leaf epidermis,leaf mesophyll",Leaf,UV-DDB1,PCMDB
Os05g0593000,LOC_Os05g51520,leaf mesophyll,Leaf,Os05g0593000,PCMDB
Os05g0593200,LOC_Os05g51540,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os05g0593200,PCMDB
Os05g0594100,LOC_Os05g51590,"leaf mesophyll,leaf procambium",Leaf,Os05g0594100,PCMDB
Os05g0594700,LOC_Os05g51630,"leaf epidermis,leaf mesophyll,leaf procambium,Phloem",Leaf,OsOSCA1.2,PCMDB
Os05g0595100,LOC_Os05g51670,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsUGE1,PCMDB
Os05g0595400,LOC_Os05g51700,"leaf epidermis,leaf procambium,Phloem",Leaf,OsNDPK3,PCMDB
Os05g0596200,LOC_Os05g51754,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os05g0596200,PCMDB
Os05g0597100,LOC_Os05g51830,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,HDT1,PCMDB
Os06g0101600,LOC_Os06g01210,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsPC,PCMDB
Os06g0103200,LOC_Os06g01350,"leaf mesophyll,mestome sheath",Leaf,Os06g0103200,PCMDB
Os06g0103300,LOC_Os06g01360,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,HGO,PCMDB
Os06g0103400,LOC_Os06g01370,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os06g0103400,PCMDB
Os06g0103500,LOC_Os06g01390,"leaf epidermis,leaf mesophyll",Leaf,ACX1,PCMDB
Os06g0104400,LOC_Os06g01500,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,P0644B06.3-1,PCMDB
Os06g0105400,LOC_Os06g01630,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0644B06.24-1,PCMDB
Os06g0105800,LOC_Os06g01670,"leaf epidermis,leaf mesophyll",Leaf,Os06g0105800,PCMDB
Os06g0105900,LOC_Os06g01680,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0105900,PCMDB
Os06g0106000,LOC_Os06g01690,leaf mesophyll,Leaf,Os06g0106000,PCMDB
Os06g0106100,LOC_Os06g01700,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os06g0106100,PCMDB
Os06g0106900,LOC_Os06g01770,"leaf epidermis,leaf mesophyll",Leaf,Os06g0106900,PCMDB
Os06g0107700,LOC_Os06g01850,"leaf mesophyll,leaf procambium",Leaf,OsLFNR2,PCMDB
Os06g0109500,LOC_Os06g01990,"leaf mesophyll,mestome sheath",Leaf,Os06g0109500,PCMDB
Os06g0111400,LOC_Os06g02130,"leaf mesophyll,mestome sheath",Leaf,Os06g0111400,PCMDB
Os06g0111500,LOC_Os06g02144,"leaf mesophyll,mestome sheath,leaf procambium,leaf initial cell",Leaf,Os6PGDH1,PCMDB
Os06g0111800,LOC_Os06g02180,leaf mesophyll,Leaf,OsCSLD2,PCMDB
Os06g0112200,LOC_Os06g02220,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,OsMTN,PCMDB
Os06g0112800,LOC_Os06g02260,leaf mesophyll,Leaf,OsGSL1,PCMDB
Os06g0113900,LOC_Os06g02370,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,P0541H01.18-1,PCMDB
Os06g0114000,LOC_Os06g02380,"leaf epidermis,leaf mesophyll,Mesophyll precursor",Leaf,OsCPn60beta1,PCMDB
Os06g0114500,LOC_Os06g02420,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0114500,PCMDB
Os06g0114651,LOC_Os06g02440,"leaf epidermis,mestome sheath",Leaf,Os06g0114651,PCMDB
Os06g0114700,LOC_Os06g02440,"leaf epidermis,mestome sheath",Leaf,Os06g0114700,PCMDB
Os06g0115500,LOC_Os06g02510,"leaf epidermis,leaf mesophyll",Leaf,Os06g0115500,PCMDB
Os06g0115800,LOC_Os06g02540,"leaf mesophyll,leaf procambium",Leaf,Os06g0115800,PCMDB
Os06g0116600,LOC_Os06g02600,leaf procambium,Leaf,Os06g0116600,PCMDB
Os06g0116800,LOC_Os06g02620,leaf mesophyll,Leaf,OsDjA9,PCMDB
Os06g0125132,LOC_Os06g03514,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,SDH8B,PCMDB
Os06g0125200,LOC_Os06g03520,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0125200,PCMDB
Os06g0125800,LOC_Os06g03580,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsBBI1,PCMDB
Os06g0126000,LOC_Os06g03600,mestome sheath,Leaf,OsSEU3,PCMDB
Os06g0126500,LOC_Os06g03640,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsBAG3,PCMDB
Os06g0127000,LOC_Os06g03660,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,GLL,PCMDB
Os06g0127500,LOC_Os06g03690,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0127500,PCMDB
Os06g0127900,LOC_Os06g03720,"leaf mesophyll,leaf initial cell",Leaf,RNRS2,PCMDB
Os06g0128200,LOC_Os06g03760,"mestome sheath,Xylem",Leaf,Os06g0128200,PCMDB
Os06g0128300,LOC_Os06g03770,leaf procambium,Leaf,ABCB23,PCMDB
Os06g0128600,LOC_Os06g03800,leaf epidermis,Leaf,Os06g0128600,PCMDB
Os06g0128700,LOC_Os06g03800,leaf epidermis,Leaf,XBOS36,PCMDB
Os06g0128800,LOC_Os06g03810,"leaf mesophyll,mestome sheath",Leaf,Os06g0128800,PCMDB
Os06g0129300,LOC_Os06g03850,leaf mesophyll,Leaf,OsISI1,PCMDB
Os06g0129400,LOC_Os06g03860,leaf epidermis,Leaf,OsSPX-MFS3,PCMDB
Os06g0129700,LOC_Os06g03910,leaf mesophyll,Leaf,P0538C01.23,PCMDB
Os06g0129800,LOC_Os06g03920,leaf mesophyll,Leaf,Os06g0129800,PCMDB
Os06g0129900,LOC_Os06g03930,"leaf mesophyll,Mesophyll precursor",Leaf,Os06g0129900,PCMDB
Os06g0130000,LOC_Os06g03940,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,LMR,PCMDB
Os06g0130800,LOC_Os06g04020,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,leaf initial cell",Leaf,Os06g0130800,PCMDB
Os06g0130900,LOC_Os06g04030,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,leaf initial cell",Leaf,Os06g0130900,PCMDB
Os06g0132400,LOC_Os06g04150,leaf mesophyll,Leaf,ChlM,PCMDB
Os06g0132500,LOC_Os06g04169,leaf epidermis,Leaf,OsBDG,PCMDB
Os06g0133200,LOC_Os06g04210,"leaf mesophyll,mestome sheath",Leaf,Os06g0133200,PCMDB
Os06g0133300,LOC_Os06g04220,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0133300,PCMDB
Os06g0133400,LOC_Os06g04230,"leaf epidermis,leaf mesophyll",Leaf,Os06g0133400,PCMDB
Os06g0133500,LOC_Os06g04240,"leaf mesophyll,leaf procambium",Leaf,134P10.9b,PCMDB
Os06g0133800,LOC_Os06g04270,"leaf mesophyll,mestome sheath",Leaf,OsTK,PCMDB
Os06g0133900,LOC_Os06g04280,leaf mesophyll,Leaf,EPSPS,PCMDB
Os06g0134800,LOC_Os06g04380,leaf mesophyll,Leaf,Os06g0134800,PCMDB
Os06g0134900,LOC_Os06g04390,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0134900,PCMDB
Os06g0135000,LOC_Os06g04399,leaf procambium,Leaf,Os06g0135000,PCMDB
Os06g0136000,LOC_Os06g04460,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0136000,PCMDB
Os06g0136100,LOC_Os06g04470,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os06g0136100,PCMDB
Os06g0136500,LOC_Os06g04500,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsCNIH1,PCMDB
Os06g0136600,LOC_Os06g04510,leaf procambium,Leaf,OsEno5,PCMDB
Os06g0136800,LOC_Os06g04530,"leaf mesophyll,leaf procambium,Mesophyll precursor",Leaf,OsClp9,PCMDB
Os06g0136900,LOC_Os06g04540,mestome sheath,Leaf,DP1,PCMDB
Os06g0137300,LOC_Os06g04580,leaf epidermis,Leaf,Os06g0137300,PCMDB
Os06g0137700,LOC_Os06g04620,"leaf mesophyll,leaf procambium",Leaf,P0548D03.38-1,PCMDB
Os06g0138100,LOC_Os06g04650,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsMSRA5,PCMDB
Os06g0138900,LOC_Os06g04699,leaf mesophyll,Leaf,Os06g0138900,PCMDB
Os06g0139800,LOC_Os06g04790,"leaf mesophyll,leaf procambium",Leaf,Os06g0139800,PCMDB
Os06g0139900,LOC_Os06g04800,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0139900,PCMDB
Os06g0140700,LOC_Os06g04870,leaf mesophyll,Leaf,Oshox2,PCMDB
Os06g0140800,LOC_Os06g04880,"leaf mesophyll,mestome sheath",Leaf,OsPUB51,PCMDB
Os06g0140900,LOC_Os06g04889,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium,Xylem",Leaf,Os06g0140900,PCMDB
Os06g0141100,LOC_Os06g04900,"leaf mesophyll,leaf procambium",Leaf,Os06g0141100,PCMDB
Os06g0141600,LOC_Os06g04940,mestome sheath,Leaf,OsENOD93,PCMDB
Os06g0142200,LOC_Os06g04990,"leaf mesophyll,mestome sheath,leaf procambium",Leaf,P0535G04.15-1,PCMDB
Os06g0142300,LOC_Os06g05000,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsENOD93,PCMDB
Os06g0142350,LOC_Os06g05010,"leaf mesophyll,leaf epidermis,mestome sheath,leaf procambium",Leaf,UDP-GT,PCMDB
Os06g0142400,LOC_Os06g05020,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsENOD93,PCMDB
Os06g0142600,LOC_Os06g05060,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,HD3B,PCMDB
Os06g0142700,LOC_Os06g05080,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os06g0142700,PCMDB
Os06g0142900,LOC_Os06g05100,mestome sheath,Leaf,OsDXS2,PCMDB
Os06g0143100,LOC_Os06g05120,"leaf epidermis,mestome sheath,Phloem",Leaf,OsCDT2,PCMDB
Os06g0143400,LOC_Os06g05130,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,FATB1,PCMDB
Os06g0143900,LOC_Os06g05180,"leaf epidermis,leaf mesophyll",Leaf,OsWD40-125,PCMDB
Os06g0145200,LOC_Os06g05284,leaf procambium,Leaf,Os06g0145200,PCMDB
Os06g0145800,LOC_Os06g05350,leaf mesophyll,Leaf,Os06g0145800,PCMDB
Os06g0146250,LOC_Os06g05380,"leaf mesophyll,leaf procambium",Leaf,OsWRKY73,PCMDB
Os06g0146300,LOC_Os06g05390,leaf mesophyll,Leaf,Os06g0146300,PCMDB
Os06g0146400,LOC_Os06g05400,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsISC7,PCMDB
Os06g0146800,LOC_Os06g05420,"leaf mesophyll,leaf procambium",Leaf,Os06g0146800,PCMDB
