RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0144100,LOC_Os01g05080,leaf mesophyll,Leaf,Os01g0144100,PCMDB
Os01g0144200,LOC_Os01g05090,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0144200,PCMDB
Os01g0144600,LOC_Os01g05130,"leaf mesophyll,leaf procambium",Leaf,Os01g0144600,PCMDB
Os01g0144800,LOC_Os01g05150,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0144800,PCMDB
Os01g0145000,LOC_Os01g05170,leaf epidermis,Leaf,Os01g0145000,PCMDB
Os01g0145900,LOC_Os01g05260,leaf,Leaf,Os01g0145900,PCMDB
Os01g0147900,LOC_Os01g05490,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsTPI1,PCMDB
Os01g0148000,LOC_Os01g05500,"leaf mesophyll,leaf procambium",Leaf,Os01g0148000,PCMDB
Os01g0148050,LOC_Os01g05500,"leaf mesophyll,leaf procambium",Leaf,Os01g0148050,PCMDB
Os01g0148700,LOC_Os01g05560,leaf procambium,Leaf,Os01g0148700,PCMDB
Os01g0149400,LOC_Os01g05610,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0149400,PCMDB
Os01g0149600,LOC_Os01g05630,"leaf mesophyll,leaf initial cell",Leaf,H2B,PCMDB
Os01g0149800,LOC_Os01g05650,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsMT2a,PCMDB
Os01g0149900,LOC_Os01g05660,mestome sheath,Leaf,Os01g0149900,PCMDB
Os01g0150000,LOC_Os01g05670,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,CER10,PCMDB
Os01g0151600,LOC_Os01g05830,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0151600,PCMDB
Os01g0151700,LOC_Os01g05840,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0151700,PCMDB
Os01g0152300,LOC_Os01g05900,"leaf epidermis,mestome sheath,leaf procambium,leaf initial cell",Leaf,H2B.10,PCMDB
Os01g0152800,LOC_Os01g05960,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsRLCK25,PCMDB
Os01g0152900,LOC_Os01g05970,"leaf mesophyll,leaf initial cell",Leaf,OsFbox002,PCMDB
Os01g0153100,LOC_Os01g05970,leaf mesophyll,Leaf,OsFbox002,PCMDB
Os01g0155000,LOC_Os01g06220,mestome sheath,Leaf,Hsr203j,PCMDB
